chr1	13116	25263997
chr1	25333264	121484236
chr3	60197	1171111
chr3	1274753	23935159
chr4	11961	49489381
chr5	11882	17595431
chr5	17645676	70994887
chr5	71001066	71006882
chr5	71028274	71031888
chr5	71103559	71130321
chr5	71137320	180790901
chr7	151050158	159127076
chr9	10469	28058180
chr9	28158881	30338229
chr10	60969	135524334
chr15	20000538	30083422
chr15	30103837	30116057
chr15	30136340	30139022
chr15	30154170	30159996
chr15	30192403	30215964
chr15	30222663	30230636
chr15	30283950	30289990
chr15	30300721	81955452
chr15	81957342	81963137
chr16	46387351	90292766
chr17	25458873	25461543
chr17	25520312	25542346
chr17	25569373	25571720
chr17	25605803	25624296
chr17	25676161	25700909
chr17	25761092	25769814
chr17	25876396	25920891
chr17	26017487	26018588
chr17	26037089	26050741
chr17	26133177	26140046
chr17	26251158	26279598
chr17	26315359	26322518
chr18	16444	78017073
