chr1	25333264	25367084
chr1	75379460	75380674
chr1	142535439	153459396
chr1	161585647	161613962
chr1	161660206	161662552
chr2	130622888	130633216
chr2	210829577	212796378
chr2	212911142	228626019
chr3	26146839	26385620
chr3	28416184	43183469
chr3	93514105	93520803
chr3	93537290	93557931
chr3	93582319	93652808
chr4	11961	34777325
chr4	34828718	82311291
chr4	150697841	151000419
chr6	379834	6044641
chr6	146594589	171049557
chr8	11774	39373101
chr8	39531751	39896284
chr9	65991048	66004070
chr9	66274071	66282312
chr9	66593188	66669387
chr9	66735717	66764707
chr9	66855545	66860027
chr9	67540904	67618556
chr9	67656370	67697236
chr9	67769451	67887411
chr10	47150879	47572069
chr10	47603291	47616838
chr10	47626538	47712795
chr10	47733643	47911451
chr10	47967045	47990491
chr10	48037440	48050991
chr10	48125222	61399418
chr10	66214178	83589867
chr10	88638790	121010105
chr11	55604412	55663742
chr11	55668443	55676504
chr12	31963828	32817618
chr13	46376007	46764902
chr15	90530763	102520794
chr22	21210288	21212656
chr22	21239540	21258085
chr22	21317661	21324484
